nominal,data,curs,cdx
100,3/24/2015,49.4882,Японская иена
100,3/25/2015,49.1622,Японская иена
100,3/26/2015,47.9611,Японская иена
100,3/27/2015,47.6279,Японская иена
100,3/28/2015,48.3220,Японская иена
100,3/31/2015,48.8240,Японская иена
100,4/1/2015,47.9897,Японская иена
100,4/2/2015,48.5997,Японская иена
100,4/3/2015,47.6646,Японская иена
100,4/4/2015,47.4150,Японская иена
100,4/7/2015,47.4806,Японская иена
100,4/8/2015,46.1241,Японская иена
100,4/9/2015,45.0319,Японская иена
100,4/10/2015,43.6834,Японская иена
100,4/11/2015,42.4345,Японская иена
100,4/14/2015,43.4173,Японская иена
100,4/15/2015,43.3938,Японская иена
100,4/16/2015,42.2498,Японская иена
100,4/17/2015,41.6421,Японская иена
100,4/18/2015,42.5136,Японская иена
100,4/21/2015,43.3968,Японская иена
100,4/22/2015,45.1070,Японская иена
100,4/23/2015,44.8643,Японская иена
100,4/24/2015,43.0278,Японская иена
100,4/25/2015,42.1079,Японская иена
100,4/28/2015,43.1660,Японская иена
100,4/29/2015,43.9143,Японская иена
100,4/30/2015,43.4040,Японская иена
100,5/1/2015,43.0371,Японская иена
100,5/6/2015,43.0290,Японская иена
100,5/7/2015,41.7261,Японская иена
100,5/8/2015,42.2124,Японская иена
100,5/9/2015,42.2873,Японская иена
100,5/13/2015,42.4001,Японская иена
100,5/14/2015,41.3511,Японская иена
100,5/15/2015,42.0148,Японская иена
100,5/16/2015,41.8436,Японская иена
100,5/19/2015,41.1260,Японская иена
100,5/20/2015,40.9797,Японская иена
100,5/21/2015,41.1622,Японская иена
100,5/22/2015,41.2924,Японская иена
100,5/23/2015,41.2084,Японская иена
100,5/26/2015,40.9909,Японская иена
100,5/27/2015,41.0208,Японская иена
100,5/28/2015,41.4695,Японская иена
100,5/29/2015,42.1835,Японская иена
100,5/30/2015,42.7794,Японская иена
100,6/2/2015,42.5635,Японская иена
100,6/3/2015,42.9023,Японская иена
100,6/4/2015,42.7206,Японская иена
100,6/5/2015,44.3421,Японская иена
100,6/6/2015,45.0854,Японская иена
100,6/9/2015,44.6793,Японская иена
100,6/10/2015,44.9329,Японская иена
100,6/11/2015,44.5906,Японская иена
100,6/12/2015,44.1526,Японская иена
100,6/16/2015,44.7513,Японская иена
100,6/17/2015,43.7454,Японская иена
100,6/18/2015,43.5572,Японская иена
100,6/19/2015,43.4567,Японская иена
100,6/20/2015,43.6853,Японская иена
100,6/23/2015,43.5051,Японская иена
100,6/24/2015,43.8240,Японская иена
100,6/25/2015,43.6455,Японская иена
100,6/26/2015,44.1144,Японская иена
100,6/27/2015,44.4276,Японская иена
100,6/30/2015,45.2021,Японская иена
100,7/1/2015,45.7228,Японская иена
100,7/2/2015,45.2179,Японская иена
100,7/3/2015,45.0488,Японская иена
100,7/4/2015,45.1797,Японская иена
100,7/7/2015,46.0255,Японская иена
100,7/8/2015,46.5973,Японская иена
100,7/9/2015,47.0422,Японская иена
100,7/10/2015,46.9553,Японская иена
100,7/11/2015,46.3963,Японская иена
100,7/14/2015,45.8642,Японская иена
100,7/15/2015,46.2085,Японская иена
100,7/16/2015,45.8356,Японская иена
100,7/17/2015,45.9611,Японская иена
100,7/18/2015,45.8424,Японская иена
100,7/21/2015,45.7284,Японская иена
100,7/22/2015,45.8385,Японская иена
100,7/23/2015,46.0756,Японская иена
100,7/24/2015,46.3329,Японская иена
100,7/25/2015,46.8044,Японская иена
100,7/28/2015,47.6389,Японская иена
100,7/29/2015,48.7104,Японская иена
100,7/30/2015,48.3450,Японская иена
100,7/31/2015,47.5098,Японская иена
100,8/1/2015,48.5798,Японская иена
100,8/4/2015,50.3102,Японская иена
100,8/5/2015,50.7282,Японская иена
100,8/6/2015,50.4228,Японская иена
100,8/7/2015,51.1509,Японская иена
100,8/8/2015,51.1599,Японская иена
100,8/11/2015,51.7430,Японская иена
100,8/12/2015,50.6550,Японская иена
100,8/13/2015,52.2224,Японская иена
100,8/14/2015,51.3881,Японская иена
100,8/15/2015,52.2290,Японская иена
100,8/18/2015,52.6343,Японская иена
100,8/19/2015,52.9895,Японская иена
100,8/20/2015,52.9058,Японская иена
100,8/21/2015,53.9767,Японская иена
100,8/22/2015,55.4082,Японская иена
100,8/25/2015,58.7522,Японская иена
100,8/26/2015,58.4394,Японская иена
100,8/27/2015,57.9599,Японская иена
100,8/28/2015,56.0916,Японская иена
100,8/29/2015,55.0109,Японская иена
100,9/1/2015,55.0297,Японская иена
100,9/2/2015,54.5352,Японская иена
100,9/3/2015,55.6860,Японская иена
100,9/4/2015,55.7049,Японская иена
100,9/5/2015,56.8614,Японская иена
100,9/8/2015,57.3612,Японская иена
100,9/9/2015,57.2942,Японская иена
100,9/10/2015,56.0387,Японская иена
100,9/11/2015,56.6950,Японская иена
100,9/12/2015,56.4088,Японская иена
100,9/15/2015,56.5367,Японская иена
100,9/16/2015,56.2104,Японская иена
100,9/17/2015,54.7933,Японская иена
100,9/18/2015,54.0698,Японская иена
100,9/19/2015,54.9280,Японская иена
100,9/22/2015,55.0318,Японская иена
100,9/23/2015,55.1939,Японская иена
100,9/24/2015,54.9449,Японская иена
100,9/25/2015,55.3992,Японская иена
100,9/26/2015,54.3311,Японская иена
100,9/29/2015,54.4908,Японская иена
100,9/30/2015,55.2779,Японская иена
100,10/1/2015,54.7142,Японская иена
100,10/2/2015,54.1653,Японская иена
100,10/3/2015,54.8986,Японская иена
100,10/6/2015,54.6282,Японская иена
100,10/7/2015,54.1116,Японская иена
100,10/8/2015,52.2442,Японская иена
100,10/9/2015,51.9963,Японская иена
100,10/10/2015,51.0083,Японская иена
100,10/13/2015,50.8828,Японская иена
100,10/14/2015,51.9939,Японская иена
100,10/15/2015,52.7799,Японская иена
100,10/16/2015,52.5637,Японская иена
100,10/17/2015,51.5165,Японская иена
100,10/20/2015,51.4869,Японская иена
100,10/21/2015,51.9945,Японская иена
100,10/22/2015,52.2338,Японская иена
100,10/23/2015,52.4771,Японская иена
100,10/24/2015,51.4635,Японская иена
100,10/27/2015,51.7244,Японская иена
100,10/28/2015,52.7302,Японская иена
100,10/29/2015,54.2784,Японская иена
100,10/30/2015,53.1527,Японская иена
100,10/31/2015,53.3186,Японская иена
100,11/3/2015,52.9279,Японская иена
100,11/4/2015,52.8909,Японская иена
100,11/6/2015,52.1138,Японская иена
100,11/7/2015,52.2507,Японская иена
100,11/10/2015,52.3949,Японская иена
100,11/11/2015,52.2123,Японская иена
100,11/12/2015,52.4463,Японская иена
100,11/13/2015,53.2364,Японская иена
100,11/14/2015,54.3045,Японская иена
100,11/17/2015,54.1013,Японская иена
100,11/18/2015,53.1212,Японская иена
100,11/19/2015,52.5608,Японская иена
100,11/20/2015,52.6776,Японская иена
100,11/21/2015,52.7527,Японская иена
100,11/24/2015,53.2770,Японская иена
100,11/25/2015,53.5332,Японская иена
100,11/26/2015,53.5374,Японская иена
100,11/27/2015,53.5799,Японская иена
100,11/28/2015,54.1281,Японская иена
100,12/1/2015,54.3218,Японская иена
100,12/2/2015,53.9168,Японская иена
100,12/3/2015,54.2162,Японская иена
100,12/4/2015,54.8715,Японская иена
100,12/5/2015,55.1304,Японская иена
100,12/8/2015,55.5367,Японская иена
100,12/9/2015,56.3138,Японская иена
100,12/10/2015,56.3564,Японская иена
100,12/11/2015,56.8268,Японская иена
100,12/12/2015,56.6803,Японская иена
100,12/15/2015,57.8955,Японская иена
100,12/16/2015,58.6119,Японская иена
100,12/17/2015,57.7532,Японская иена
100,12/18/2015,57.7040,Японская иена
100,12/19/2015,58.5490,Японская иена
100,12/22/2015,58.6874,Японская иена
100,12/23/2015,58.7511,Японская иена
100,12/24/2015,58.6129,Японская иена
100,12/25/2015,57.7068,Японская иена
100,12/26/2015,58.3921,Японская иена
100,12/29/2015,58.7123,Японская иена
100,12/30/2015,60.2439,Японская иена
100,12/31/2015,60.5087,Японская иена
100,1/1/2016,60.5806,Японская иена
100,1/12/2016,64.5812,Японская иена
100,1/13/2016,65.1950,Японская иена
100,1/14/2016,64.6294,Японская иена
100,1/15/2016,64.9353,Японская иена
