nominal,data,curs,cdx
1,3/24/2015,32.7558,Болгарский лев
1,3/25/2015,32.9730,Болгарский лев
1,3/26/2015,32.1483,Болгарский лев
1,3/27/2015,31.8689,Болгарский лев
1,3/28/2015,31.9239,Болгарский лев
1,3/31/2015,32.4261,Болгарский лев
1,4/1/2015,31.6671,Болгарский лев
1,4/2/2015,32.0290,Болгарский лев
1,4/3/2015,31.5386,Болгарский лев
1,4/4/2015,31.5595,Болгарский лев
1,4/7/2015,31.7292,Болгарский лев
1,4/8/2015,30.7610,Болгарский лев
1,4/9/2015,29.9917,Болгарский лев
1,4/10/2015,28.8552,Болгарский лев
1,4/11/2015,27.7452,Болгарский лев
1,4/14/2015,28.4238,Болгарский лев
1,4/15/2015,28.0551,Болгарский лев
1,4/16/2015,27.3419,Болгарский лев
1,4/17/2015,27.0148,Болгарский лев
1,4/18/2015,27.8830,Болгарский лев
1,4/21/2015,28.3954,Болгарский лев
1,4/22/2015,29.4515,Болгарский лев
1,4/23/2015,29.4989,Болгарский лев
1,4/24/2015,28.2637,Болгарский лев
1,4/25/2015,27.9960,Болгарский лев
1,4/28/2015,28.5068,Болгарский лев
1,4/29/2015,29.0578,Болгарский лев
1,4/30/2015,29.0842,Болгарский лев
1,5/1/2015,29.3564,Болгарский лев
1,5/6/2015,29.3011,Болгарский лев
1,5/7/2015,28.7317,Болгарский лев
1,5/8/2015,29.2256,Болгарский лев
1,5/9/2015,29.1405,Болгарский лев
1,5/13/2015,29.2761,Болгарский лев
1,5/14/2015,28.4203,Болгарский лев
1,5/15/2015,29.2133,Болгарский лев
1,5/16/2015,29.0968,Болгарский лев
1,5/19/2015,28.6315,Болгарский лев
1,5/20/2015,28.1208,Болгарский лев
1,5/21/2015,28.2684,Болгарский лев
1,5/22/2015,28.4901,Болгарский лев
1,5/23/2015,28.4206,Болгарский лев
1,5/26/2015,27.9523,Болгарский лев
1,5/27/2015,28.0441,Болгарский лев
1,5/28/2015,28.4745,Болгарский лев
1,5/29/2015,29.1980,Болгарский лев
1,5/30/2015,29.6826,Болгарский лев
1,6/2/2015,29.4959,Болгарский лев
1,6/3/2015,29.9441,Болгарский лев
1,6/4/2015,30.2262,Болгарский лев
1,6/5/2015,31.8510,Болгарский лев
1,6/6/2015,32.3906,Болгарский лев
1,6/9/2015,31.9263,Болгарский лев
1,6/10/2015,32.2787,Болгарский лев
1,6/11/2015,31.7661,Болгарский лев
1,6/12/2015,31.3779,Болгарский лев
1,6/16/2015,31.7705,Болгарский лев
1,6/17/2015,31.1780,Болгарский лев
1,6/18/2015,31.0770,Болгарский лев
1,6/19/2015,31.1108,Болгарский лев
1,6/20/2015,31.1184,Болгарский лев
1,6/23/2015,31.0043,Болгарский лев
1,6/24/2015,31.1559,Болгарский лев
1,6/25/2015,31.0132,Болгарский лев
1,6/26/2015,31.2891,Болгарский лев
1,6/27/2015,31.4184,Болгарский лев
1,6/30/2015,31.4726,Болгарский лев
1,7/1/2015,31.8802,Болгарский лев
1,7/2/2015,31.5095,Болгарский лев
1,7/3/2015,31.4900,Болгарский лев
1,7/4/2015,31.6045,Болгарский лев
1,7/7/2015,31.9520,Болгарский лев
1,7/8/2015,32.1276,Болгарский лев
1,7/9/2015,32.2624,Болгарский лев
